Cardnum,n_low,n_high,R,1/R,U,n,t,U*
5142253356,61,5,13.37,0.07,13.37,66,17,13.37
5142299705,25,3,9.13,0.11,9.13,28,4.33,9.03
5142197563,15,134,0.12,8.15,8.15,149,44.67,8.15
5142194617,5,33,0.17,6.02,6.02,38,7.67,6.02
5142288241,1,13,0.08,11.86,11.86,14,-0.33,5.53
5142239140,16,3,5.85,0.17,5.85,19,1.33,4.83
5142144931,6,30,0.22,4.56,4.56,36,7,4.56
5142192606,13,2,7.12,0.14,7.12,15,0,4.06
5142204384,199,54,4.04,0.25,4.04,253,79.33,4.04
5142284940,21,6,3.84,0.26,3.84,27,4,3.78
5142189113,6,24,0.27,3.65,3.65,30,5,3.63
5142225308,4,17,0.26,3.88,3.88,21,2,3.53
5142116864,58,18,3.53,0.28,3.53,76,20.33,3.53
5142293257,2,13,0.17,5.93,5.93,15,0,3.47
5142173286,2,13,0.17,5.93,5.93,15,0,3.47
5142246929,79,25,3.46,0.29,3.46,104,29.67,3.46
5142224699,7,25,0.31,3.26,3.26,32,5.67,3.25
5142847398,10,35,0.31,3.19,3.19,45,10,3.19
5142273608,6,21,0.31,3.19,3.19,27,4,3.15
5142147267,22,76,0.32,3.15,3.15,98,27.67,3.15
5142224769,15,5,3.29,0.3,3.29,20,1.67,2.92
5142242241,16,51,0.34,2.91,2.91,67,17.33,2.91
5142260984,265,101,2.88,0.35,2.88,366,117,2.88
5142113192,2,12,0.18,5.47,5.47,14,-0.33,2.87
5142191416,18,7,2.82,0.35,2.82,25,3.33,2.76
5142308889,11,2,6.03,0.17,6.03,13,-0.67,2.71
5142194228,11,2,6.03,0.17,6.03,13,-0.67,2.71
5142195887,12,3,4.38,0.23,4.38,15,0,2.69
5142212038,12,3,4.38,0.23,4.38,15,0,2.69
5142225184,27,11,2.69,0.37,2.69,38,7.67,2.69
5142257356,142,58,2.68,0.37,2.68,200,61.67,2.68
5142216493,14,5,3.07,0.33,3.07,19,1.33,2.64
5142239106,8,23,0.38,2.62,2.62,31,5.33,2.62
5142144593,4,14,0.31,3.19,3.19,18,1,2.6
5142126842,38,16,2.6,0.38,2.6,54,13,2.6
5142117315,7,20,0.38,2.61,2.61,27,4,2.58
5142218798,21,9,2.56,0.39,2.56,30,5,2.55
5142180432,58,25,2.54,0.39,2.54,83,22.67,2.54
5142264155,27,12,2.47,0.41,2.47,39,8,2.47
5142294614,5,15,0.37,2.74,2.74,20,1.67,2.46
